,group,sender,text,date
1,freifahren_BE,779363091,S9 towards the airport,2023-09-06 05:03:51+00:00
1,freifahren_BE,310026752,"2 Männer s9 Treptower Park Richtung Spandau, ausgestiegen",2023-09-06 05:04:22+00:00
1,freifahren_BE,779363091,Plänterwald aussgestiegen,2023-09-06 05:06:12+00:00
1,freifahren_BE,66349393,S41 gleich Sonnenalle. Eine Frau rot weiß gestreiftes t Shirt,2023-09-06 05:49:55+00:00
1,freifahren_BE,6364334369,Potsdamer Platz eine Frau und ein Typ grade S2 raus,2023-09-06 06:15:20+00:00
1,freifahren_BE,445908679,"08:28 uhr, weitergeleitet:

""S3 Hirschgarten
Richtung Erkner""",2023-09-06 06:30:28+00:00
1,freifahren_BE,445908679,,2023-09-06 06:30:35+00:00
1,freifahren_BE,176106658,"S47 Richtung Königs Wusterhausen, Station Grünau, drei kontrolettis in zivil",2023-09-06 06:39:40+00:00
1,freifahren_BE,5944083262,U 8 3 person weinmeisterstr,2023-09-06 06:51:07+00:00
1,freifahren_BE,5944083262,Ticket Kontrolle,2023-09-06 06:51:22+00:00
1,freifahren_BE,90543966,"M5 tram, Landsberger Allee, Richtung Zingster str",2023-09-06 06:51:35+00:00
1,freifahren_BE,431436888,S9 Waßmannsdorf Richtung Spandau,2023-09-06 06:55:27+00:00
1,freifahren_BE,1522983892,Westkreuz auf dem Gleis oben bei der RingBahn,2023-09-06 06:58:32+00:00
1,freifahren_BE,6179487113,S9 Richtung BER ACHTUNG,2023-09-06 07:04:15+00:00
1,freifahren_BE,532259869,S3 Karlshorst Richtung Spandau,2023-09-06 07:04:30+00:00
1,freifahren_BE,6179487113,"Nächste station Olympiastadion  
2 personen",2023-09-06 07:05:00+00:00
1,freifahren_BE,6179487113,M gelesen mit Goldener Uhr Schwarze Sbahn pusherbag,2023-09-06 07:06:15+00:00
1,freifahren_BE,1278598963,4 m gelesen sbahn jungfernheide,2023-09-06 07:07:53+00:00
1,freifahren_BE,1278598963,Am Gleis,2023-09-06 07:08:11+00:00
1,freifahren_BE,740146410,2 männlich gelesen beide in weißem Poloshirt U8 Bernauer Str. Am gleis,2023-09-06 08:04:40+00:00
1,freifahren_BE,445908679,"10:08 uhr, weitergeleitet:

""S Köpenick
2 Kontis
1 davon mit grüner Jacke und Schieber mütze""",2023-09-06 08:09:34+00:00
1,freifahren_BE,1453884340,2 in der U 8 jetzt Weinmeisterstr,2023-09-06 08:10:23+00:00
1,freifahren_BE,1453884340,Das sind die von der Bernauerstr,2023-09-06 08:10:50+00:00
1,freifahren_BE,1453884340,Steigen aus.,2023-09-06 08:11:07+00:00
1,freifahren_BE,1309028448,U8 hermannstr. Vor 2 minuten voltastraße eingestiegen,2023-09-06 08:25:19+00:00
1,freifahren_BE,5106728484,U1 Hallesches Tor,2023-09-06 08:32:00+00:00
1,freifahren_BE,5106728484,They got 2 people already,2023-09-06 08:32:14+00:00
1,freifahren_BE,201951764,2 weiblich gelesen mit blauen kötter-westen an bernauer str am gleis,2023-09-06 08:32:34+00:00
1,freifahren_BE,1689893004,Welche Linie,2023-09-06 08:34:12+00:00
1,freifahren_BE,201951764,"U8, aber am gleis",2023-09-06 08:34:48+00:00
1,freifahren_BE,812352284,3 kontrolettis am Ostkreuz stehen oben bei der Ringbahn.,2023-09-06 08:35:11+00:00
1,freifahren_BE,78402706,"U9 Birkenstraße 4 Kontrolettis, schwarze Westen",2023-09-06 08:44:11+00:00
1,freifahren_BE,1832822319,Buslinie m85 hbf Richtung Lichterfelde wird zu und abgestiegen von Kontrolleuren,2023-09-06 08:48:33+00:00
1,freifahren_BE,1832822319,BOS Westen,2023-09-06 08:48:41+00:00
1,freifahren_BE,1131433210,U9 westhafen zwei mit BOS Westen,2023-09-06 08:49:34+00:00
1,freifahren_BE,1131433210,Zwei Mal männlich gelesen,2023-09-06 08:49:47+00:00
1,freifahren_BE,738647387,"Kontrolle M8 Anton Sefko Platz jetzt
Noch in bahn Richtung hbf
2 Leute,wg mit weisser Handtasche und gr. mg mit schwarzer Cap",2023-09-06 08:52:48+00:00
1,freifahren_BE,1131433210,U9  Turmstraße 4-5 Menschen mit BOS westen,2023-09-06 08:55:17+00:00
1,freifahren_BE,247313835,"S Frankfurter 3 männlich gelesen
Groß, bärtig und Bauchtasche",2023-09-06 09:06:09+00:00
1,freifahren_BE,93997009,"Jetzt in der ringbahn 2 Typen, von s hermannstrasse, gerade Tempelhof ausgestiegen",2023-09-06 09:15:34+00:00
1,freifahren_BE,219024801,S3 Stresow Richtung Spandau. 1x männlich und 1x weiblich gelesen.,2023-09-06 09:17:37+00:00
1,freifahren_BE,1464053822,4 blue belt,2023-09-06 09:21:16+00:00
1,freifahren_BE,1464053822,Warschauer Straße,2023-09-06 09:21:19+00:00
1,freifahren_BE,1002464746,S 42 bundesplatz 2 x,2023-09-06 09:25:35+00:00
1,freifahren_BE,774945523,S42 Hohenzollerndamm,2023-09-06 09:27:15+00:00
1,freifahren_BE,774945523,,2023-09-06 09:27:27+00:00
