,station,line,latitude,longitude
311,ernst reuter platz,U2,52.511944444444445,13.322222222222225
312,hausvogteiplatz,U2,52.51305555555555,13.396666666666668
313,kaiserdamm,U2,52.51,13.282222222222224
314,klosterstr,U2,52.51611111111111,13.412222222222224
315,mendelssohn bartholdy park,U2,52.50388888888889,13.375
316,mohrenstr,U2,52.51166666666666,13.38472222222222
317,märkisches museum,U2,52.511944444444445,13.408888888888889
318,neu westend,U2,52.51555555555556,13.261111111111113
319,olympia stadion,U2,52.51722222222222,13.25
320,rosa luxemburg platz,U2,52.52833333333333,13.41027777777778
321,ruhleben,U2,52.52555555555556,13.241388888888888
322,senefelderplatz,U2,52.5325,13.4125
323,sophie charlotte platz,U2,52.51083333333333,13.296666666666669
324,spittelmarkt,U2,52.51111111111111,13.403611111111111
325,theodor heuss platz,U2,52.50972222222222,13.273055555555556
326,vinetastr,U2,52.55916666666666,13.413333333333334
327,potsdamer platz,U2,52.50944444444445,13.375833333333334
328,potsdamer platz,S1,52.50944444444445,13.375833333333334
329,potsdamer platz,S2,52.50944444444445,13.375833333333334
330,potsdamer platz,S25,52.50944444444445,13.375833333333334
331,potsdamer platz,S26,52.50944444444445,13.375833333333334
332,pankow,U2,52.56666666666667,13.411111111111111
333,pankow,S2,52.56666666666667,13.411111111111111
334,pankow,S8,52.56666666666667,13.411111111111111
335,pankow,S85,52.56666666666667,13.411111111111111
336,schönhauser allee,U2,52.549166666666665,13.416111111111112
337,schönhauser allee,S41,52.549166666666665,13.416111111111112
338,schönhauser allee,S42,52.549166666666665,13.416111111111112
339,schönhauser allee,S8,52.549166666666665,13.416111111111112
340,schönhauser allee,S85,52.549166666666665,13.416111111111112
341,alex,U2,52.521388888888886,13.412638888888887
342,alex,U5,52.521388888888886,13.412638888888887
343,alex,U8,52.521388888888886,13.412638888888887
344,alex,S3,52.521388888888886,13.412638888888887
345,alex,S5,52.521388888888886,13.412638888888887
346,alex,S7,52.521388888888886,13.412638888888887
347,alex,S9,52.521388888888886,13.412638888888887
348,stadtmitte,U2,52.51222222222222,13.389444444444443
349,stadtmitte,U6,52.51222222222222,13.389444444444443
350,bismarckstr,U2,52.51138888888889,13.304722222222225
351,bismarckstr,U7,52.51138888888889,13.304722222222225
352,zoo,U2,52.50722222222223,13.3325
353,zoo,U9,52.50722222222223,13.3325
354,zoo,S3,52.50722222222223,13.3325
355,zoo,S5,52.50722222222223,13.3325
356,zoo,S7,52.50722222222223,13.3325
357,zoo,S9,52.50722222222223,13.3325
358,augsburger str,U3,52.50055555555556,13.336388888888887
359,breitenbachplatz,U3,52.46694444444445,13.308611111111112
360,dahlem dorf,U3,52.4575,13.289722222222222
361,freie universität,U3,52.45111111111111,13.281944444444443
362,hohenzollernplatz,U3,52.494166666666665,13.324722222222222
363,krumme lanke,U3,52.44333333333333,13.241388888888888
364,nürnberger platz,U3,52.498333333333335,13.334166666666668
365,onkel toms hütte,U3,52.45027777777778,13.253333333333334
366,oskar helene heim,U3,52.45027777777778,13.269722222222224
367,podbielskiallee,U3,52.46416666666667,13.295833333333333
368,rüdesheimer platz,U3,52.473333333333336,13.314444444444446
369,heidelberger platz,U3,52.48,13.311944444444444
370,heidelberger platz,S41,52.48,13.311944444444444
371,heidelberger platz,S42,52.48,13.311944444444444
372,heidelberger platz,S46,52.48,13.311944444444444
373,fehrbelliner platz,U3,52.49027777777778,13.314166666666669
374,fehrbelliner platz,U7,52.49027777777778,13.314166666666669
375,spichernstr,U3,52.49666666666667,13.331111111111111
376,spichernstr,U9,52.49666666666667,13.331111111111111
377,rathaus schöneberg,U4,52.48305555555556,13.341944444444444
378,viktoria luise platz,U4,52.49611111111111,13.342777777777778
379,innsbrucker platz,U4,52.47861111111112,13.34388888888889
380,innsbrucker platz,S41,52.47861111111112,13.34388888888889
381,innsbrucker platz,S42,52.47861111111112,13.34388888888889
382,innsbrucker platz,S46,52.47861111111112,13.34388888888889
383,bayerischer platz,U4,52.48861111111111,13.34
384,bayerischer platz,U7,52.48861111111111,13.34
385,biesdorf süd,U5,52.49972222222223,13.546388888888888
386,bundestag,U5,52.52,13.373055555555556
387,cottbusser platz,U5,52.53388888888889,13.596388888888889
388,elsterwerdaer platz,U5,52.505,13.560555555555556
389,frankfurter tor,U5,52.51583333333333,13.454166666666666
390,friedrichsfelde,U5,52.50611111111111,13.512777777777778
391,hellersdorf,U5,52.53666666666666,13.606388888888889
392,hönow,U5,52.53833333333333,13.633888888888889
393,kaulsdorf nord,U5,52.52111111111111,13.58888888888889
394,kienberg,U5,52.52861111111111,13.590555555555556
395,louis lewin str,U5,52.53888888888888,13.618333333333334
396,magdalenenstr,U5,52.5125,13.486388888888888
397,museumsinsel,U5,52.5175,13.398333333333332
398,rotes rathaus,U5,52.51861111111111,13.408333333333331
399,samariterstr,U5,52.51472222222223,13.464444444444444
